Дата,Средняя температура
27.09.2024,15.56
26.09.2024,16.38
25.09.2024,17.2
24.09.2024,14.06
23.09.2024,11.03
22.09.2024,8.74
21.09.2024,13.69
20.09.2024,15.64
19.09.2024,14.66
18.09.2024,15.95
17.09.2024,18.6
16.09.2024,16.15
15.09.2024,20.09
14.09.2024,21.43
13.09.2024,21.41
12.09.2024,21.45
11.09.2024,20.04
10.09.2024,20.86
09.09.2024,19.73
08.09.2024,19.02
07.09.2024,18.95
06.09.2024,18.8
05.09.2024,19.96
04.09.2024,21.0
03.09.2024,21.51
02.09.2024,17.69
01.09.2024,16.09
31.08.2024,20.98
30.08.2024,20.82
29.08.2024,19.3
28.08.2024,18.74
27.08.2024,17.88
26.08.2024,19.81
25.08.2024,19.79
24.08.2024,17.75
23.08.2024,15.91
22.08.2024,18.88
21.08.2024,18.6
20.08.2024,17.95
19.08.2024,18.2
18.08.2024,19.49
17.08.2024,20.0
16.08.2024,21.74
15.08.2024,19.62
14.08.2024,17.7
13.08.2024,17.98
12.08.2024,16.41
11.08.2024,16.75
10.08.2024,18.57
09.08.2024,20.45
08.08.2024,19.69
07.08.2024,17.82
06.08.2024,18.0
05.08.2024,18.31
04.08.2024,18.56
03.08.2024,17.82
02.08.2024,18.44
01.08.2024,17.71
31.07.2024,18.96
30.07.2024,19.05
29.07.2024,22.66
28.07.2024,22.35
27.07.2024,23.6
26.07.2024,23.86
25.07.2024,23.75
24.07.2024,23.39
23.07.2024,22.19
22.07.2024,22.0
21.07.2024,19.76
20.07.2024,19.35
19.07.2024,19.65
18.07.2024,21.65
17.07.2024,22.96
16.07.2024,21.27
15.07.2024,20.09
14.07.2024,20.76
13.07.2024,21.12
12.07.2024,20.49
11.07.2024,22.73
10.07.2024,19.25
09.07.2024,19.23
08.07.2024,17.56
07.07.2024,20.65
06.07.2024,16.27
05.07.2024,18.05
04.07.2024,18.95
03.07.2024,17.09
02.07.2024,19.61
01.07.2024,25.01
30.06.2024,20.06
29.06.2024,25.41
28.06.2024,23.27
27.06.2024,21.62
26.06.2024,20.93
25.06.2024,19.25
24.06.2024,17.59
23.06.2024,18.52
22.06.2024,17.34
21.06.2024,17.19
20.06.2024,15.43
19.06.2024,17.88
18.06.2024,18.44
17.06.2024,21.1
16.06.2024,18.69
15.06.2024,16.61
14.06.2024,16.05
13.06.2024,16.35
12.06.2024,16.68
11.06.2024,16.77
10.06.2024,14.85
09.06.2024,15.51
08.06.2024,14.76
07.06.2024,17.07
06.06.2024,19.75
05.06.2024,21.35
04.06.2024,20.16
03.06.2024,20.82
02.06.2024,21.94
01.06.2024,23.11
31.05.2024,22.99
30.05.2024,22.95
29.05.2024,21.56
28.05.2024,22.41
27.05.2024,20.15
26.05.2024,18.36
25.05.2024,20.8
24.05.2024,21.18
23.05.2024,18.43
22.05.2024,15.38
21.05.2024,13.74
20.05.2024,16.41
19.05.2024,19.15
18.05.2024,16.91
17.05.2024,15.53
16.05.2024,15.59
15.05.2024,14.68
14.05.2024,12.56
13.05.2024,9.62
12.05.2024,8.49
11.05.2024,5.64
10.05.2024,6.38
09.05.2024,4.89
08.05.2024,1.62
07.05.2024,3.16
06.05.2024,4.14
05.05.2024,6.34
04.05.2024,8.99
03.05.2024,7.17
02.05.2024,9.18
01.05.2024,7.99
